state,region,year,pil_per_person
Papal States,Marche,2011,1.02
Papal States,Umbria,1871,0.99
Papal States,Umbria,1881,1.03
Papal States,Umbria,1891,1.06
Papal States,Umbria,1901,1.00
Papal States,Umbria,1911,0.92
Papal States,Umbria,1921,0.93
Papal States,Umbria,1931,1.00
Papal States,Umbria,1938,0.95
Papal States,Umbria,1951,0.90
Papal States,Umbria,1961,0.93
Papal States,Umbria,1971,0.93
Papal States,Umbria,1981,1.01
Papal States,Umbria,1991,0.96
Papal States,Umbria,2001,0.96
Papal States,Umbria,2011,0.92
,Trentino Alto Adige,1871,0.69
,Trentino Alto Adige,1881,0.73
,Trentino Alto Adige,1891,0.78
,Trentino Alto Adige,1901,0.82
,Trentino Alto Adige,1911,0.78
,Trentino Alto Adige,1921,0.88
,Trentino Alto Adige,1931,0.92
,Trentino Alto Adige,1938,0.94
,Trentino Alto Adige,1951,1.06
,Trentino Alto Adige,1961,1.01
,Trentino Alto Adige,1971,1.07
,Trentino Alto Adige,1981,1.27
,Trentino Alto Adige,1991,1.30
,Trentino Alto Adige,2001,1.30
,Trentino Alto Adige,2011,1.29
